chanel,time,question,answer,intent,confidence
,2020-08-06 18:33:31.263721,cho hỏi mày tên gì,,chitchat,0.9999996423721313
,2020-08-06 18:33:31.267085,,Tên mình là MeeyBot :),,
Tester,2020-08-07 09:32:40.478565,,,,
,2020-08-07 09:32:40.939357,chào bạn,,greet,0.9970596432685852
,2020-08-07 09:32:40.942781,,"Chào bạn, tên mình là MeeyBot. Bạn cần mình giúp gì không?",,
,2020-08-07 09:32:50.279951,cho mình hỏi đăng tin như nào vậy ạ,,how_create_new_post,0.7324784994125366
,2020-08-07 09:32:50.283916,,"Để đăng bài, bạn truy cập vào website meeyland.com, tại góc trên cùng bên phải màn hình trang chủ, chọn nút chức năng “Đăng bài” và thực hiện theo các bước sau: Bước 1: Lựa chọn mục đích đăng bài. Sau khi chọn được mục đích đăng bài: Nếu đã đăng nhập vào tài khoản, thực hiện theo bước tiếp theo Nếu chưa có tài khoản, đăng tin vãng lai, cửa sổ sẽ yêu cầu lựa chọn đối tượng đăng bài.
Bước 2: Nhập thông tin Bất động sản cần giao dịch tại màn hình “Đăng bài” Nhập đầy đủ các trường thông tin tại cột bên trái màn hình: bao gồm trường ''vị trí'', trường ''thông tin Bất động sản'', trường ''thông tin khác Tiêu đề: súc tích và đầy đủ thông tin, tối thiểu 6 ký tự, tối đa 100 ký tự Nội dung mô tả: giới hạn tối đa 5000 ký tự và không giới hạn ký tự tối thiểu. Thông tin liên hệ: bạn phải điền đầy đủ thông tin liên hệ để khách hàng liên lạc khi có nhu cầu. Tìm kiếm theo vị trí: Bạn nhập địa chỉ Bất động sản trong tin đăng, chọn theo gợi ý trong thanh tìm kiếm đưa ra, vị trí Bất động sản bạn đăng sẽ hiển thị trên bản đồ.
Bước 3: Hoàn tất đăng bài. Bạn có thể lưu nháp, xem trước bài đăng hoặc hoàn tất quá trình đăng bài bằng cách nhấp vào nút 'Đăng bài' ở cuối màn hình. ",,
,2020-08-07 09:33:19.148817,nãy mình đăng ký tài khoản mà mãi không được xác nhận,,lost_otp,0.6022492051124573
,2020-08-07 09:33:19.152062,,"Trường hợp bạn không nhận được mã OTP xác nhận, bạn lựa chọn “Gửi lại mã OTP” ngay dưới ô “Xác nhận” để nhận mã mới. Trong trường hợp vẫn chưa nhận được mã OTP sau khi đã chọn 'Gửi lại mã OTP', vui lòng liên hệ với chúng tôi để được hỗ trợ: •        Gọi đến tổng đài theo số hotline 08.69.09.29.29 •        Gửi mail yêu cầu hỗ trợ tới địa chỉ  “contact@meeyland.com” •        Chat với 'Chăm sóc khách hàng' trên website meeyland.com",,
,2020-08-07 09:33:39.200523,đã chọn gửi lại rồi mà ko được ấy ạ,,how_create_creative_post,0.3493616580963135
,2020-08-07 09:33:39.203699,,"1. Nhập đầy đủ các thông tin cần thiết cho Bất động sản như: + Vị trí: Tỉnh/TP, Quận/Huyện, Đường/Phố. + Thông tin Bất động sản: thông tin liên quan tới diện tích, số phòng ngủ, phòng tắm, hướng, các tiện ích đi kèm, đặc điểm nổi bật, hướng… + Các ưu đãi khi giao dịch Bất động sản này (nếu có)
2. Đăng tải clip/hình ảnh có phân giải cao: Chỉ nên đăng tối đa từ 8-16 ảnh và tối đa 1 clip. Mỗi ảnh dung lượng không vượt quá 4mb. Ảnh bìa: Đây là những yếu tố quyết định cho phần ảnh bìa giúp cho bạn bắt được sự chú ý của khách hàng khi tìm kiếm Bất động sản trên meeyland.com Hình ảnh phải liên quan tới Bất động sản Hình ảnh phải thể hiện rõ các khu vực chính có trong Bất động sản Bất động sản trong ảnh là nhà thật Tránh việc chèn thêm chữ hoặc đồ hoạ vào hình Hình ảnh rõ ràng và thu hút: Không sử dụng hình ảnh phản cảm Hình ảnh rõ ràng và sáng Tránh việc phóng to ảnh và cắt ghép Chất lượng hình ảnh: Hình ảnh có kích thước tối thiểu 4mb Không chỉnh sửa hình ảnh làm thay đổi tỉ lệ kích thước Các ảnh còn lại: Khi khách hàng đã thu hút bởi ảnh bìa, khách hàng có xu hướng tìm hiểu thêm về Bất động sản bạn đăng tin. Vì thế các ảnh chi tiết về Bất động sản của bạn cần trả lời được các câu hỏi sau: Bất động sản trông thế nào ở các góc khác nhau? Điểm nổi bật nhất của Bất động sản đó là gì? Cung cấp thông tin chính xác về Bất động sản: bạn cần điền thông tin chính xác về Bất động sản khi thao tác đăng tin Bất động sản Vị trí: Bất động sản thuộc khu vực nào? Dự án thuộc chủ đầu tư nào? Thông tin liên hệ: cung cấp thông tin về người đăng/chủ nhà/người môi giới để khách hàng tự liên hệ.
",,
Tester,2020-08-07 11:33:08.935156,,,,
,2020-08-07 11:33:08.947439,Snmđ,,greet,0.4013838768005371
,2020-08-07 11:33:08.950461,,Xin lỗi mình không hiểu ý bạn ạ.,,
,2020-08-07 11:33:18.292326,Chào bạn,,greet,0.9970596432685852
,2020-08-07 11:33:18.296367,,"Xin chào, mình là MeeyBot. Mình có thể giúp gì cho bạn ạ?",,
,2020-08-07 11:33:37.555982,Ck mk bảo mk chat thử,,chitchat,0.9999786019325256
,2020-08-07 11:33:37.563285,,"Xin lỗi, MeeyBot không giúp được bạn việc này!",,
,2020-08-07 11:33:51.193811,Vậy à. Thế thôi,,canthelp,0.9753366112709045
,2020-08-07 11:33:51.196904,,Xin lỗi vì không thể giúp bạn.,,
Tester,2020-08-10 09:34:15.868263,,,,
,2020-08-10 09:34:15.917632,hello,,greet,0.9994975328445435
,2020-08-10 09:34:15.924613,,"Xin chào, mình là MeeyBot. Rất vui khi được hỗ trợ bạn.",,
,2020-08-10 09:34:30.034398,cho hỏi mấy giờ rồi,,chitchat,0.9999812245368958
,2020-08-10 09:34:30.038029,,Cái này khó à nha,,
,2020-08-10 09:34:39.627170,up in là gì thế,,what_is_up_post,0.9945507049560547
,2020-08-10 09:34:39.630289,,"Up tin giúp tin đăng đang hiển thị của khách hàng được đẩy lên vị trí đầu tiên trong gói đăng tin đó ngay tại thời điểm up tin. Up tin giúp cho tin rao của khách hàng tiếp cận được với nhiều người quan tâm và có nhu cầu về bất động sản, giúp giao dịch được nhanh chóng hơn.",,
,2020-08-10 09:34:50.316869,thế có đắt không,,user_ask_price,0.6120378375053406
,2020-08-10 09:34:50.321265,,"Hiện tại Meey Land có áp dụng phí cho Up tin, phí up tin cho các gói tin khác nhau. Bạn có thể xem bảng giá Up tin tại (copy đường link dẫn tới mục Báo giá)",,
,2020-08-10 09:35:11.703662,cám ơn,,thank,0.9963602423667908
,2020-08-10 09:35:11.707076,,Rất vui khi được phục vụ bạn :),,
,2020-08-10 09:35:21.501314,khá lắm :),,react_positive,0.9994726777076721
,2020-08-10 09:35:21.505157,,👏,,
Tester,2020-08-10 09:37:09.221393,,,,
,2020-08-10 09:37:09.232179,hi,,greet,0.9997482299804688
,2020-08-10 09:37:09.235175,,"Chào bạn, mình là MeeyBot. Mình giúp gì cho bạn ạ!",,
,2020-08-10 10:09:17.378717,bạn khoẻ không?,,out_of_scope,0.5168342590332031
,2020-08-10 10:09:17.382310,,"Xin lỗi, MeeyBot không giúp được bạn việc này!",,
,2020-08-10 10:58:24.704943,ừ không sao,,lost_otp,0.2433597296476364
,2020-08-10 10:58:24.708301,,Xin lỗi mình không hiểu ý bạn ạ.,,
,2020-08-10 10:58:28.800731,:D,,greet,0.7253510355949402
,2020-08-10 10:58:28.805227,,"Chào bạn, mình là MeeyBot. Mình giúp gì cho bạn ạ!",,
,2020-08-10 10:58:42.904846,có đấ,,chitchat,0.9102232456207275
,2020-08-10 10:58:42.908358,,"Xin lỗi, MeeyBot không giúp được bạn việc này!",,
,2020-08-10 10:58:49.509114,có đấy,,chitchat,0.9999721646308899
,2020-08-10 10:58:49.513793,,"Xin lỗi, MeeyBot không giúp được bạn việc này!",,
,2020-08-10 11:03:45.475330,mình muốn mở tài khoản,,how_register_account,0.9998691082000732
,2020-08-10 11:03:45.478887,,"Để đăng ký tài khoản tại MeeyLand, bạn có thể thực hiện theo 2 cách sau: + Cách 1: Truy cập vào website https://meeyland.com , chọn nút 'Đăng nhập' phía góc trên cùng bên phải màn hình. Màn hình 'Đăng nhập hiện ra', chọn 'Đăng ký mới tài khoản' nếu chưa có tài khoản tại MeeyLand. + Cách 2: Hoặc bạn có thể truy cập trực tiếp vào website https://meeyid.com/register và thực hiện đăng ký tài khoản theo các nội dung yêu cầu. Xem hướng dẫn thêm tại mục 'Hướng dẫn đăng ký tài khoản MeeyID'.",,
,2020-08-10 11:16:57.731485,đăng nhập như thế nào vậy,,login_failed,0.9743144512176514
,2020-08-10 11:16:57.735218,,"Bạn kiểm tra và nhập đúng Email/Số điện thoại và Mật khẩu trước khi đăng nhập. Trong trường hợp bạn không thể đăng nhập, vui lòng liên hệ với bộ phận Chăm sóc khách hàng của chúng tôi để được hỗ trợ: • Gọi đến tổng đài theo số hotline 08.69.09.29.29 • Gửi mail yêu cầu hỗ trợ tới địa chỉ “contact@meeyland.com” • Chat với 'Chăm sóc khách hàng' trên website meeyland.com",,
,2020-08-10 11:17:05.769317,vào đâu để đăng nhập,,login_failed,0.9905182719230652
,2020-08-10 11:17:05.774240,,"Bạn kiểm tra và nhập đúng Email/Số điện thoại và Mật khẩu trước khi đăng nhập. Trong trường hợp bạn không thể đăng nhập, vui lòng liên hệ với bộ phận Chăm sóc khách hàng của chúng tôi để được hỗ trợ: • Gọi đến tổng đài theo số hotline 08.69.09.29.29 • Gửi mail yêu cầu hỗ trợ tới địa chỉ “contact@meeyland.com” • Chat với 'Chăm sóc khách hàng' trên website meeyland.com",,
,2020-08-10 16:12:30.103876,h,,greet,0.9470506310462952
,2020-08-10 16:12:30.109042,,"Chào bạn, mình là MeeyBot. Mình giúp gì cho bạn ạ!",,
,2020-08-10 16:13:18.569544,đăng nhập như thế nào bạn,,login_failed,0.8761574029922485
,2020-08-10 16:13:18.574454,,"Bạn kiểm tra và nhập đúng Email/Số điện thoại và Mật khẩu trước khi đăng nhập. Trong trường hợp bạn không thể đăng nhập, vui lòng liên hệ với bộ phận Chăm sóc khách hàng của chúng tôi để được hỗ trợ: • Gọi đến tổng đài theo số hotline 08.69.09.29.29 • Gửi mail yêu cầu hỗ trợ tới địa chỉ “contact@meeyland.com” • Chat với 'Chăm sóc khách hàng' trên website meeyland.com",,
,2020-08-10 16:21:43.274452,bị báo lỗi đăng nhập,,login_failed,0.9988409876823425
,2020-08-10 16:21:43.278605,,"Bạn kiểm tra và nhập đúng Email/Số điện thoại và Mật khẩu trước khi đăng nhập. Trong trường hợp bạn không thể đăng nhập, vui lòng liên hệ với bộ phận Chăm sóc khách hàng của chúng tôi để được hỗ trợ: • Gọi đến tổng đài theo số hotline 08.69.09.29.29 • Gửi mail yêu cầu hỗ trợ tới địa chỉ “contact@meeyland.com” • Chat với 'Chăm sóc khách hàng' trên website meeyland.com",,
,2020-08-10 16:21:51.497542,vẫn không được,,deny,0.9927121996879578
,2020-08-10 16:21:51.503150,,Rất vui khi được phục vụ bạn :),,
,2020-08-10 16:21:59.607725,vẫn không đăng nhập được,,login_failed,0.9900014400482178
,2020-08-10 16:21:59.611882,,"Bạn kiểm tra và nhập đúng Email/Số điện thoại và Mật khẩu trước khi đăng nhập. Trong trường hợp bạn không thể đăng nhập, vui lòng liên hệ với bộ phận Chăm sóc khách hàng của chúng tôi để được hỗ trợ: • Gọi đến tổng đài theo số hotline 08.69.09.29.29 • Gửi mail yêu cầu hỗ trợ tới địa chỉ “contact@meeyland.com” • Chat với 'Chăm sóc khách hàng' trên website meeyland.com",,
,2020-08-10 16:38:35.721870,cho mình hỏi,,greet,0.9992263317108154
,2020-08-10 16:38:35.726466,,"Xin chào, mình là MeeyBot. Rất vui khi được hỗ trợ bạn.",,
Tester,2020-08-10 18:37:12.136753,,,,
,2020-08-10 18:37:12.157998,hiii,,greet,0.9998706579208374
,2020-08-10 18:37:12.161452,,"Xin chào, mình là MeeyBot. Rất vui khi được hỗ trợ bạn.",,
Tester,2020-08-10 18:54:18.712714,,,,
,2020-08-10 18:54:18.734453,tôi cần mua gói đăng tin,,how_create_new_post,0.8878023624420166
,2020-08-10 18:54:18.738171,,"Để đăng tin, trước tiên bạn cần chuẩn bị nội dung tin đăng, hình ảnh/video kèm theo, có thể đăng tin không cần tài khoản (khách hàng vãng lai) hoặc có tài khoản.
Để đăng ký tài khoản, bạn truy cập [link](https://meeyid.com/register) (xem thêm hướng dẫn đăng ký tài khoản) Nếu đã có tài khoản, bạn truy cập [link](https://meeyid.com/login)
Tìm hiểu 'Quy định đăng tin', bạn truy cập [link](https://meeyland.com/page/quy-dinh-dang-tin) Khi bạn đăng tin giao dịch Bất động sản bất kì, bạn có trách nhiệm đảm bảo tin đăng của bạn tuân thủ theo quy định đăng tin và chính sách của website meeyland.com. ",,
,2020-08-10 18:54:44.722442,tôi hỏi gói tin đăng,,how_create_new_post,0.6960620880126953
,2020-08-10 18:54:44.727690,,"Để đăng bài, bạn truy cập vào website meeyland.com, tại góc trên cùng bên phải màn hình trang chủ, chọn nút chức năng “Đăng bài” và thực hiện theo các bước sau: Bước 1: Lựa chọn mục đích đăng bài. Sau khi chọn được mục đích đăng bài: Nếu đã đăng nhập vào tài khoản, thực hiện theo bước tiếp theo Nếu chưa có tài khoản, đăng tin vãng lai, cửa sổ sẽ yêu cầu lựa chọn đối tượng đăng bài.
Bước 2: Nhập thông tin Bất động sản cần giao dịch tại màn hình “Đăng bài” Nhập đầy đủ các trường thông tin tại cột bên trái màn hình: bao gồm trường ''vị trí'', trường ''thông tin Bất động sản'', trường ''thông tin khác Tiêu đề: súc tích và đầy đủ thông tin, tối thiểu 6 ký tự, tối đa 100 ký tự Nội dung mô tả: giới hạn tối đa 5000 ký tự và không giới hạn ký tự tối thiểu. Thông tin liên hệ: bạn phải điền đầy đủ thông tin liên hệ để khách hàng liên lạc khi có nhu cầu. Tìm kiếm theo vị trí: Bạn nhập địa chỉ Bất động sản trong tin đăng, chọn theo gợi ý trong thanh tìm kiếm đưa ra, vị trí Bất động sản bạn đăng sẽ hiển thị trên bản đồ.
Bước 3: Hoàn tất đăng bài. Bạn có thể lưu nháp, xem trước bài đăng hoặc hoàn tất quá trình đăng bài bằng cách nhấp vào nút 'Đăng bài' ở cuối màn hình. ",,
,2020-08-10 18:56:38.235344,tôi muốn mua gói tin đăng,,how_create_new_post,0.8468666076660156
,2020-08-10 18:56:38.238407,,"Để đăng bài, bạn truy cập vào website meeyland.com, tại góc trên cùng bên phải màn hình trang chủ, chọn nút chức năng “Đăng bài” và thực hiện theo các bước sau: Bước 1: Lựa chọn mục đích đăng bài. Sau khi chọn được mục đích đăng bài: Nếu đã đăng nhập vào tài khoản, thực hiện theo bước tiếp theo Nếu chưa có tài khoản, đăng tin vãng lai, cửa sổ sẽ yêu cầu lựa chọn đối tượng đăng bài.
Bước 2: Nhập thông tin Bất động sản cần giao dịch tại màn hình “Đăng bài” Nhập đầy đủ các trường thông tin tại cột bên trái màn hình: bao gồm trường ''vị trí'', trường ''thông tin Bất động sản'', trường ''thông tin khác Tiêu đề: súc tích và đầy đủ thông tin, tối thiểu 6 ký tự, tối đa 100 ký tự Nội dung mô tả: giới hạn tối đa 5000 ký tự và không giới hạn ký tự tối thiểu. Thông tin liên hệ: bạn phải điền đầy đủ thông tin liên hệ để khách hàng liên lạc khi có nhu cầu. Tìm kiếm theo vị trí: Bạn nhập địa chỉ Bất động sản trong tin đăng, chọn theo gợi ý trong thanh tìm kiếm đưa ra, vị trí Bất động sản bạn đăng sẽ hiển thị trên bản đồ.
Bước 3: Hoàn tất đăng bài. Bạn có thể lưu nháp, xem trước bài đăng hoặc hoàn tất quá trình đăng bài bằng cách nhấp vào nút 'Đăng bài' ở cuối màn hình. ",,
,2020-08-10 18:58:03.458257,tôi cần mua gói vip,,fee_of_vip_post,0.49048087000846863
,2020-08-10 18:58:03.555151,,"Hiện tại Meeyland cung cấp 3 gói tin VIP là gói Vip 1 giá 40.000đ/tin/ngày, gói Vip 2 giá 25.000đ/tin/ngày, gói Vip 3 giá 15.000đ/tin/ngày ạ.",,
,2020-08-11 17:13:39.132510,"xin chào, ai đấy",,chitchat,0.995384693145752
,2020-08-11 17:13:39.136651,,"Xin lỗi, MeeyBot không giúp được bạn việc này!",,
,2020-08-11 17:14:05.052106,ai đấy,,chitchat,0.999998927116394
,2020-08-11 17:14:05.056400,,Là những kỹ sư AI thông minh của Meey Land tạo ra ạ!,,
,2020-08-11 17:14:25.836950,bạn là người hả,,chitchat,0.9961666464805603
,2020-08-11 17:14:25.841991,,"Xin lỗi, MeeyBot không giúp được bạn việc này!",,
,2020-08-11 17:14:41.234955,đánh cho cái bây giờ,,chitchat,0.9063655138015747
,2020-08-11 17:14:41.238489,,"Xin lỗi, MeeyBot không giúp được bạn việc này!",,
Tester,2020-08-10 19:04:05.370266,,,,
,2020-08-10 19:04:05.385694,Hi,,greet,0.9997482299804688
,2020-08-10 19:04:05.389819,,"Chào bạn, tên mình là MeeyBot. Bạn cần mình giúp gì không?",,
,2020-08-10 19:04:25.911667,Mình muốn mua nhà tại Xuân Đỉnh,,request_explain_more,0.4422380030155182
,2020-08-10 19:04:25.915277,,Xin lỗi mình không hiểu ý bạn ạ.,,
,2020-08-10 19:05:23.469743,Mình muốn tìm mua chung cư gần Cầu Giấy,,canthelp,0.5056584477424622
,2020-08-10 19:05:23.473277,,Xin lỗi vì không thể giúp bạn.,,
Tester,2020-08-10 19:18:58.676682,,,,
,2020-08-10 19:18:58.687441,hi,,greet,0.9997482299804688
,2020-08-10 19:18:58.690318,,"Chào bạn, mình là MeeyBot. Mình giúp gì cho bạn ạ!",,
,2020-08-10 19:19:24.717474,Có loại gói tin nào?,,fee_of_vip_post,0.8947973847389221
,2020-08-10 19:19:24.725637,,"Hiện tại Meeyland cung cấp 3 gói tin VIP là gói Vip 1 giá 40.000đ/tin/ngày, gói Vip 2 giá 25.000đ/tin/ngày, gói Vip 3 giá 15.000đ/tin/ngày ạ.",,
,2020-08-10 19:20:19.549474,Vip 1 là gì?,,fee_of_vip_post,0.4734191298484802
,2020-08-10 19:20:19.560400,,Giá gói Vip 1 hiện tại là 40.000đ/tin/ngày ạ.,,
,2020-08-10 19:20:19.560404,,"Ngoài ra bên em còn có các gói Vip 2 với giá 25.000đ/tin/ngày, Vip 3 với giá 15.000đ/tin/ngày ạ.",,
,2020-08-10 19:20:49.111768,khác nhau các gói vip,,fee_of_vip_post,0.986029863357544
,2020-08-10 19:20:49.122508,,Giá gói Vip 1 hiện tại là 40.000đ/tin/ngày ạ.,,
,2020-08-10 19:20:49.122512,,"Ngoài ra bên em còn có các gói Vip 2 với giá 25.000đ/tin/ngày, Vip 3 với giá 15.000đ/tin/ngày ạ.",,
,2020-08-10 19:21:10.809018,Vip 3 là gì,,fee_of_vip_post,0.4734191298484802
,2020-08-10 19:21:10.817033,,Giá gói Vip 3 hiện tại là 15.000đ/tin/ngày ạ.,,
,2020-08-10 19:21:10.817035,,"Ngoài ra bên em còn có các gói Vip 1 với giá 40.000đ/tin/ngày, Vip 2 với giá 25.000đ/tin/ngày ạ.",,
,2020-08-10 19:21:54.112284,Vip 1 đăng được bao tin?,,fee_of_vip_post,0.9752643704414368
,2020-08-10 19:21:54.124467,,Giá gói Vip 1 hiện tại là 40.000đ/tin/ngày ạ.,,
,2020-08-10 19:21:54.124470,,"Ngoài ra bên em còn có các gói Vip 2 với giá 25.000đ/tin/ngày, Vip 3 với giá 15.000đ/tin/ngày ạ.",,
,2020-08-10 19:22:12.868870,cto,,out_of_scope,0.3163575530052185
,2020-08-10 19:22:12.873440,,"Xin lỗi, MeeyBot không giúp được bạn việc này!",,
,2020-08-10 19:22:40.458358,CTO,,out_of_scope,0.3163575530052185
,2020-08-10 19:22:40.461990,,"Xin lỗi, MeeyBot không giúp được bạn việc này!",,
,2020-08-10 19:22:47.817369,hi,,greet,0.9997482299804688
,2020-08-10 19:22:47.821442,,"Chào bạn, tên mình là MeeyBot. Bạn cần mình giúp gì không?",,
,2020-08-10 19:24:00.817160,hi,,greet,0.9997482299804688
,2020-08-10 19:24:00.821087,,"Chào bạn, mình là MeeyBot. Mình giúp gì cho bạn ạ!",,
,2020-08-10 19:24:15.724891,meeyland là gì?,,faq,0.9996876120567322
,2020-08-10 19:24:15.729005,,"Hệ sinh thái bất động sản Meey Land là thủ lĩnh dẫn đầu áp dụng CMCN 4.0 vào lĩnh vực Bất động sản tại Việt Nam, như trí tuệ nhân tạo (AI), công nghệ blockchain, dữ liệu lớn Bigdata, cung cấp sản phẩm công nghệ kết nối giao dịch bất động sản giữa những người có nhu cầu về bất động sản và người chủ sở hữu bất động sản.
 • Website không chỉ đăng tải các thông tin mua bán Bất động sản mà còn cập nhật nhanh diễn biến thông tin, phân tích, nhận định, định hướng thị trường Bất động sản, kiến thức mua bán nhà đất, danh sách các phòng công chứng…
 • Công cụ tìm kiếm Bất động sản trên bản đồ là một trong các tính năng ưu việt và thuận tiện cho khách hàng của Meey Land.",,
,2020-08-10 19:24:35.672580,CTO của meeyland,,faq,0.9999951720237732
,2020-08-10 19:24:35.678192,,"Hiện tại Meeyland có website [https://meeyland.com](link) và app Meeyland đăng tải thông tin mua bán Bất động sản, cập nhật nhanh diễn biến thông tin, phân tích, nhận định, định hướng thị trường Bất động sản, kiến thức mua bán nhà đất, danh sách các phòng công chứng…",,
,2020-08-10 19:24:49.334961,CEO,,greet,0.3511178195476532
,2020-08-10 19:24:49.341002,,"Xin chào, mình là MeeyBot. Rất vui khi được hỗ trợ bạn.",,
,2020-08-10 19:26:22.428273,hi,,greet,0.9997482299804688
,2020-08-10 19:26:22.432590,,"Xin chào, mình là MeeyBot. Mình có thể giúp gì cho bạn ạ?",,
,2020-08-10 19:26:36.640467,Có gói tin nào?,,fee_of_vip_post,0.49592486023902893
,2020-08-10 19:26:36.650947,,Giá gói Vip 1 hiện tại là 40.000đ/tin/ngày ạ.,,
,2020-08-10 19:26:36.650950,,"Ngoài ra bên em còn có các gói Vip 2 với giá 25.000đ/tin/ngày, Vip 3 với giá 15.000đ/tin/ngày ạ.",,
,2020-08-10 19:27:13.631336,Mua gói tin phải làm gì?,,benefit_of_meey_account,0.7835390567779541
,2020-08-10 19:27:13.640218,,"• Tại meeyland.com, bạn hoàn toàn có thể đăng bài với tư cách 'tài khoản vãng lai và không cần đăng ký tài khoản'. Đăng kí tài khoản sẽ mang tới cho bạn quyền lợi như sau: • Dễ dàng tự thực hiện các giao dịch Bất động sản (mua/bán/thuê/cho thuê/chuyển nhượng) với các thao tác đơn giản, tiện ích và chủ động. • Số lượng tin đăng không hạn chế, quản lý tin đăng, tin đã xem, lịch sử giao dịch. Nếu bạn không đăng ký, chỉ được đăng tối đa 3 tin còn hiệu lực trên website và không quản lý được tin đăng. • Meey Land có các gói đăng tin hấp dẫn dành cho khách hàng đăng kí tài khoản. • Dễ dàng theo dõi tình trạng giao dịch của mình. Việc đăng kí tài khoản Meey Land rất đơn giản, Quý khách vui lòng tham khảo hướng dẫn TẠI ĐÂY (đính kèm link hướng dẫn đăng kí MeeyID), hoặc click vào [đây](https://meeyid.com/register) để đăng ký tài khoản.",,
,2020-08-10 19:31:19.884887,hi,,greet,0.9997482299804688
,2020-08-10 19:31:19.889733,,"Chào bạn, mình là MeeyBot. Mình giúp gì cho bạn ạ!",,
,2020-08-10 19:31:35.220895,Có gói tin nào?,,fee_of_vip_post,0.49592486023902893
,2020-08-10 19:31:35.233532,,Giá gói Vip 1 hiện tại là 40.000đ/tin/ngày ạ.,,
,2020-08-10 19:31:35.233535,,"Ngoài ra bên em còn có các gói Vip 2 với giá 25.000đ/tin/ngày, Vip 3 với giá 15.000đ/tin/ngày ạ.",,
,2020-08-10 19:31:48.077290,Vip 1,,enter_data,0.878197431564331
,2020-08-10 19:31:48.084301,,Xin lỗi mình không hiểu ý bạn ạ.,,
,2020-08-10 19:31:59.732665,gói vip1,,enter_data,0.9942114353179932
,2020-08-10 19:31:59.738600,,Xin lỗi mình không hiểu ý bạn ạ.,,
,2020-08-10 19:32:10.027518,VIP 1,,enter_data,0.878197431564331
,2020-08-10 19:32:10.033285,,Xin lỗi mình không hiểu ý bạn ạ.,,
,2020-08-10 19:32:26.395694,/restart,,restart,1.0
Tester,2020-08-10 19:21:16.078913,,,,
,2020-08-10 19:21:16.089675,Chào bạn,,greet,0.9970596432685852
,2020-08-10 19:21:16.092523,,"Chào bạn, mình là MeeyBot. Mình giúp gì cho bạn ạ!",,
,2020-08-10 19:21:51.995594,"Mình đang có nhiều tiền và cần nơi để cho, bạn giúp được không?",,chitchat,0.9827823638916016
,2020-08-10 19:21:51.998643,,"Meeyland đang hoàn thiện sản phẩm nên chưa có số liệu thống kê cụ thể cho anh chị được, khi nào có bên em sẽ thông báo lại cho anh chị.",,
Tester,2020-08-10 19:23:45.952510,,,,
